Category,Item Name,Description,Price,Available
BIRYANI/RICE SPECIALITIES,"""AVAKAYA"" ROYYALA BIRYANI ( SHRIMP )",,19.99,TRUE
BIRYANI/RICE SPECIALITIES,"""GONGURA"" ROYYALA BIRYANI ( SHRIMP )",,19.99,TRUE
Uncategorized,KOTHIMERA CHICKEN,,15.99,TRUE
VEG-APPETIZERS,CHITTI PUNUGULU,,7.99,TRUE
GODAVARI-CHINESE SPECIALITIES,Street Style Chicken Fried Rice,,14.99,TRUE
GODAVARI-CHINESE SPECIALITIES,Street Style EGG Fried Rice,,13.99,TRUE
GODAVARI-CHINESE SPECIALITIES,Street Style VEG Fried Rice,,13.99,TRUE
GODAVARI-CHINESE SPECIALITIES,Street Style Shrimp Fried Rice,,15.99,TRUE
EXTRA ITEMS,Paan,,2.0,TRUE
Uncategorized,LUNCH COMBO VEG,,12.99,TRUE
Uncategorized,LUNCH COMBO CHICKEN,,13.99,TRUE
Uncategorized,LUNCH COMBO GOAT,,14.99,TRUE
SOUPS,RASAM,,5.99,TRUE
SOUPS,VEG Corn Soup,,8.49,TRUE
SOUPS,Chicken Corn Soup,,8.99,TRUE
SOUPS,Hot and Sour Veg Soup,,8.49,TRUE
SOUPS,Hot and Sour Chicken Soup,,8.99,TRUE
SOUPS,MANCHOW SOUP VEG,,8.49,TRUE
SOUPS,CHICKEN MANCHOW SOUP,,9.99,TRUE
VEG-APPETIZERS,GUNTUR MIRAPAKAI BHAJJI (MIRCHI BAJJI),,9.99,TRUE
VEG-APPETIZERS,CUT MIRCHI,,8.99,TRUE
VEG-APPETIZERS,IDLY VEPUDU (IDLY 65),,12.99,TRUE
VEG-APPETIZERS,65 GOBI,,14.99,TRUE
VEG-APPETIZERS,GOBI MANCHURIAN,,14.99,TRUE
VEG-APPETIZERS,GODAVARI SPECIAL VEG PLATTER,,14.99,TRUE
VEG-APPETIZERS,"CHIRANJEEVI ""CHILLI"" IDLI",,12.99,TRUE
VEG-APPETIZERS,CHIRALA CHILLI MUSHROOM,,13.99,TRUE
VEG-APPETIZERS,GANGULY GOBI VEPUDU,,14.99,TRUE
VEG-APPETIZERS,Avakai Idly,,13.99,TRUE
VEG-APPETIZERS,Karampodi Babycorn,,14.99,TRUE
VEG-APPETIZERS,GOBI MAJESTIC,,14.99,TRUE
VEG-APPETIZERS,KARAMPODI GOBI,,14.99,TRUE
VEG-APPETIZERS,CHILLI GOBI,,14.99,TRUE
VEG-APPETIZERS,CHILLI PEPPER CORN,,13.99,TRUE
VEG-APPETIZERS,BABYCORN MAJESTIC,,14.49,TRUE
VEG-APPETIZERS,ONION PAKODA,,8.99,TRUE
VEG-APPETIZERS,SAMOSA,,9.49,TRUE
VEG-APPETIZERS,MOKKAJONNA MANCHURIAN (BABY CORN),,14.49,TRUE
VEG-APPETIZERS,KARIVEPAKU IDLY,,13.99,TRUE
VEG-APPETIZERS,"KATRINA ""KARAM PODI"" IDLI",,13.99,TRUE
VEG-APPETIZERS,MUSHROOM MANCHURIAN,,13.99,TRUE
VEG-APPETIZERS,MUSHROOM VEPUDU,,13.99,TRUE
VEG-APPETIZERS,KARIVEPAKU GOBI,,14.99,TRUE
VEG-APPETIZERS,KARIVEPAKU BABYCORN,,14.99,TRUE
VEG-APPETIZERS,ONION SAMOSA,,8.99,TRUE
VEG-APPETIZERS,ONION SAMOSA 5 PCS,,4.99,TRUE
VEG-APPETIZERS,PEANUT MASALA,,8.99,TRUE
VEG-APPETIZERS,KOTHIMERA MUSHROOM,,13.99,TRUE
SOUTH INDIAN DOSA VARIETIES,PLAIN DOSA,,11.49,TRUE
SOUTH INDIAN DOSA VARIETIES,TEEN MAAR ONION DOSA,,12.99,TRUE
SOUTH INDIAN DOSA VARIETIES,MASALA DOSA,,12.99,TRUE
SOUTH INDIAN DOSA VARIETIES,MYSORE DELIGHT DOSA (SPECIAL MASALA),,13.49,TRUE
SOUTH INDIAN DOSA VARIETIES,GUNTUR KARAM DOSA,,12.99,TRUE
SOUTH INDIAN DOSA VARIETIES,GADWAL SPECIAL DOSA (GODAVARI SPECIAL),,13.99,TRUE
SOUTH INDIAN DOSA VARIETIES,MLA PESARATTU (UPMA SPECIAL),,14.99,TRUE
SOUTH INDIAN DOSA VARIETIES,NALGONDA PAPER MASALA,,16.99,TRUE
SOUTH INDIAN DOSA VARIETIES,GHEE Dosa( Kosta Ghee Roast),,12.99,TRUE
SOUTH INDIAN DOSA VARIETIES,SPRING DOSA,,13.99,TRUE
SOUTH INDIAN DOSA VARIETIES,CHENNAI RAVVA DOSA,,13.99,TRUE
SOUTH INDIAN DOSA VARIETIES,TEEN MAAR ONION RAVVA DOSA,,14.99,TRUE
SOUTH INDIAN DOSA VARIETIES,MASALA RAVVA DOSA,,14.99,TRUE
SOUTH INDIAN DOSA VARIETIES,KAL DOSA,,13.99,TRUE
SOUTH INDIAN DOSA VARIETIES,PANEER DOSA,,14.49,TRUE
SOUTH INDIAN DOSA VARIETIES,UTHAPPAM,,12.99,TRUE
SOUTH INDIAN DOSA VARIETIES,KARAIKUDI ONION UTHAPPAM (CHILLI + ONION),,13.99,TRUE
SOUTH INDIAN DOSA VARIETIES,EGG DOSA,,12.49,TRUE
SOUTH INDIAN DOSA VARIETIES,Chicken Tikka Dosa,,15.99,TRUE
SOUTH INDIAN DOSA VARIETIES,SPL NOODLES DOSA,,13.99,TRUE
SOUTH INDIAN DOSA VARIETIES,RANI GARI DOSA ( GODAVARI SPL ),,17.99,TRUE
SOUTH INDIAN DOSA VARIETIES,MYLAPORE KARAM PODI DOSA,,14.49,TRUE
SOUTH INDIAN DOSA VARIETIES,GOAT KHEEMA DOSA,,19.99,TRUE
TANDOOR,CHICKEN TIKKA,,16.99,TRUE
TANDOOR,AFGANI CHICKEN KABAB,,17.99,TRUE
TANDOOR,KODI TANDOORI (CHICKEN TANDOORI - HALF),,16.99,TRUE
